,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
0,H,Motor Yachts,10.0,5.0,8.0,42.6,2015,Fast 140',30429,30429,"Mediterranean, Croatia, France, Italy, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia",0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,"The 42m/137'10"" ''H' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by British designer RWD."
1,105 YCG,Motor Yachts,10.0,5.0,4.0,31.4,2014,Grande 105,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,The 31.4m/103' motor yacht '105 YCG' by the Italian shipyard Azimut offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Carlo Galeazzi.
2,1K,Open Yachts,6.0,3.0,5.0,33.48,2022,Mangusta 108,16571,19214,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia",16571,19214,,,"The 33.48m/109'10"" '1K' open yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins."
3,2 DRUNK,Motor Yachts,8.0,4.0,2.0,21.07,2012,Manhattan 63,0,0,,,4000,4000,,,"The 21m/68'11"" '2 Drunk' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker."
4,2 LADIES,Motor Yachts,12.0,6.0,10.0,46.35,2020,Custom,35857,35857,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",35857,35857,,,"The 46.35m/152'1"" motor yacht '2 Ladies' by the Italian shipyard Rossinavi offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Spaldoni."
5,3WWW,Motor Yachts,6.0,3.0,2.0,23.37,2010,Custom,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 23m/75'6"" '3WWW' motor yacht built by the Taiwanese shipyard Horizon is available for charter for up to 6 guests in 3 cabins."
6,4 LIFE,Motor Yachts,8.0,4.0,4.0,26.01,2022,Princess 85 Motor Yacht,5714,7429,"Mediterranean, Greece",Mykonos,5714,5714,"Mediterranean, Greece",Mykonos,"The 25.93m/85'1"" '4 Life' motor yacht built by the British shipyard Princess is available for charter for up to 8 guests in 4 cabins."
7,4A,Motor Yachts,10.0,5.0,6.0,39.4,2024,40Alloy,0,0,"South Pacific, Australia, Fiji, New Zealand, Papua New Guinea","Sydney, Whitsundays",0,0,"South Pacific, Australia, Fiji, New Zealand, Papua New Guinea","Sydney, Whitsundays","The 38.5m/126'4"" '4A' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Francesco Paszkowski Design."
8,5 ACES,Motor Yachts,8.0,4.0,4.0,28.65,2015,Custom,8500,9429,,,8500,9429,,,The 28.65m/94' '5 Aces' motor yacht built by the Italian shipyard Amer is available for charter for up to 8 guests in 4 cabins.
9,5 PALMS,Motor Yachts,8.0,4.0,4.0,26.95,2024,Ferretti 860,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 26.95m/88'5"" motor yacht '5 Palms' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Ferretti Yachts  and featuring interior styling by Italian designer Ideaeitalia she can comfortably accommodate up to 8 guests in 4 cabins."
10,50 FIFTY,Motor Yachts,10.0,5.0,5.0,32.4,2024,32L,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 32.5m/106'8"" motor yacht '50 FIFTY' is an excellent new superyacht for the luxury charter market. Delivered by the American shipyard Ocean Alexander  and featuring interior styling by British designer Evan K Marshall she can comfortably accommodate up to 10 guests in 5 cabins."
11,55 FIFTYFIVE,Motor Yachts,9.0,4.0,5.0,31.3,2021,Custom,14643,16286,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",14643,16286,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",The 31.1m/102' motor yacht '55 Fiftyfive' by the Italian shipyard Cerri Cantieri Navali offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Cerri Cantieri Navali.
12,7 ZERO,Motor Yachts,6.0,3.0,2.0,22.0,2007,Custom,3929,4714,,Sardinia,0,0,,,"The 22m/72'2"" '7 Zero' motor yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins."
13,7X,Catamarans,8.0,4.0,3.0,24.38,2019,Sunreef 80 Sailing,12000,12857,"Mediterranean, Croatia, Montenegro",,12000,12857,,,"The 24.4m/80'1"" '7X' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Polish designer Sunreef Yachts."
14,888,Motor Yachts,8.0,4.0,3.0,26.01,2024,85 Opera Super,5500,6500,"Mediterranean, Croatia, Montenegro",,5500,5500,,,"The 26m/85'4"" motor yacht '888' by the Italian shipyard Riva offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Officina Italiana Design."
15,LAST,Open Yachts,6.0,3.0,3.0,24.96,2023,Leopard 24,4143,4643,"Mediterranean, Italy","Amalfi Coast, Sardinia",0,0,,,"The 23.96m/78'7"" '@Last' open yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins."
16,A PLACE IN THE SUN,Motor Yachts,12.0,5.0,5.0,30.48,2024,Broward 100,0,0,"Caribbean, Bahamas","Florida, New England",0,0,"Caribbean, Bahamas",Florida,The 30.48m/100' 'A Place in the Sun' motor yacht built by shipyard Broward is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Jane Plachter.
17,A SALT WEAPON,Motor Yachts,10.0,5.0,5.0,34.57,2024,35P,0,0,"Caribbean, Bahamas","Florida, Miami",0,0,"Caribbean, Bahamas","Florida, Miami","The 34.6m/113'6"" motor yacht 'A Salt Weapon' is an excellent new superyacht for the luxury charter market. Delivered by the American shipyard Ocean Alexander  and featuring interior styling by Italian designer Giorgio M. Cassetta she can comfortably accommodate up to 10 guests in 5 cabins."
18,AI,Open Yachts,8.0,4.0,3.0,23.8,2006,Alfamarine 78,4571,5143,"Mediterranean, Greece","Mykonos, Santorini",4571,5143,"Mediterranean, Greece, Turkey",Mykonos,"The 23.8m/78'1"" open yacht 'A&I' by shipyard Alfamarine offers flexible accommodation for up to 8 guests in 4 cabins."
19,A SALUTE,Motor Yachts,8.0,4.0,4.0,32.92,2020,Custom,0,0,"Caribbean, Bahamas","Florida, Miami",0,0,"Caribbean, Bahamas",,The 32.92m/108' 'A' Salute' motor yacht built by shipyard Westship is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Carr Design.
20,A,Motor Yachts,11.0,5.0,7.0,34.01,2024,Oasis 34M,26857,26857,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",0,0,,,"The 34m/111'7"" motor yacht 'A+' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Benetti  and featuring interior styling by American designer Bonetti/Kozerski Architecture she can comfortably accommodate up to 11 guests in 5 cabins."
21,A4,Open Yachts,10.0,4.0,3.0,26.92,2022,Leopard 27,8000,8000,"Mediterranean, France, Monaco","Corsica, French Riviera",8000,8000,"Mediterranean, France, Monaco","Corsica, French Riviera","The 27m/88'7"" open yacht 'A4' by shipyard Leopard offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Arno."
22,A4A,Motor Yachts,8.0,4.0,2.0,20.52,2023,Navetta 68,5929,6500,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia",5929,6500,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia","The 20.53m/67'4"" motor yacht 'A4A' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Absolute  she can comfortably accommodate up to 8 guests in 4 cabins."
23,AARNA,Motor Yachts,8.0,4.0,5.0,25.58,2022,90 Yacht,9357,9357,,"Abu Dhabi, Dubai",9357,9357,,"Abu Dhabi, Dubai","The 27.77m/91'1"" motor yacht 'Aarna' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Ken Freivokh."
24,ABELY,Motor Yachts,10.0,4.0,5.0,32.99,2024,Commuter 108,7500,9143,,"Ibiza, The Balearics",7500,9143,,"Ibiza, The Balearics","The 32.5m/106'8"" motor yacht 'Abely' (ex. Abely Wheeler) by shipyard Ocea offers flexible accommodation for up to 10 guests in 4 cabins."
25,ABEON,Sailing Yachts,8.0,4.0,4.0,28.33,2003,Custom,4857,5714,,"Calvi, Corsica, Sardinia",4857,5714,,"Calvi, Corsica, Sardinia","The 28.3m/92'10"" sail yacht 'Abeon' by the Dutch shipyard Royal Huisman offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Pieter Beeldsnijder Design."
26,ABIDE,Sailing Yachts,8.0,4.0,5.0,42.06,2024,Custom,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,"The 41.6m/136'6"" 'Abide' sail yacht built by shipyard Jongert is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Peter Sijm."
27,ABILITY,Motor Yachts,11.0,5.0,8.0,42.01,2023,Codecasa 41S,18143,20643,"Mediterranean, Greece, Turkey",Mykonos,18143,18143,"Mediterranean, Greece",Mykonos,"The 41m/134'6"" motor yacht 'Ability' by the Italian shipyard Codecasa offers flexible accommodation for up to 11 guests in 5 cabins and features interior styling by Franco & Anna Della Role."
28,ABOUT TIME,Motor Yachts,12.0,6.0,8.0,40.0,2023,40 Metre Yacht,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 40.01m/131'3"" 'About Time' motor yacht built by the British shipyard Sunseeker is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by British designer Sunseeker."
29,ABOVE  BEYOND,Catamarans,8.0,4.0,5.0,23.87,2019,Sunreef 80 Sailing,8143,11429,"Mediterranean, Greece",Mykonos,8143,8143,"Mediterranean, Greece",Mykonos,"The 24.4m/80'1"" 'Above & Beyond' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Polish designer Sunreef Yachts."
30,ABSOLUTE KING,Motor Yachts,11.0,5.0,6.0,30.7,2007,Falcon 100,6286,6286,"Mediterranean, Greece",Mykonos,6286,6286,"Mediterranean, Greece",Mykonos,The 30.48m/100' motor yacht 'Absolute King' by the Italian shipyard Falcon Yachts offers flexible accommodation for up to 11 guests in 5 cabins.
31,ABUNDANCE,Gulet Yachts,6.0,3.0,4.0,31.9,2025,Custom,7143,8143,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",7143,8143,"Caribbean, Antigua, Saint Martin, St Barts, Central America, Costa Rica",Virgin Islands,"The 31.95m/104'10"" gulet yacht 'Abundance' by the New Zealander shipyard Alloy Yachts offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Hoek Design."
32,ACACIA,Motor Yachts,10.0,5.0,8.0,40.03,2023,40 Metre Yacht,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 40.03m/131'4"" motor yacht 'Acacia' by the British shipyard Sunseeker offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by British designer Sunseeker."
33,ACAIA,Sailing Yachts,8.0,4.0,4.0,30.2,2023,SW 100 DS,0,0,"South Pacific, French Polynesia",,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,"The 30.2m/99'1"" 'Acaia' sail yacht built by shipyard Southern Wind is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by American designer Nauta Yachts."
34,ACAPELLA,Sailing Yachts,12.0,5.0,9.0,49.0,2021,Custom,13857,15929,"Mediterranean, Croatia, Greece, Montenegro",Mykonos,13857,13857,"Mediterranean, Croatia, Montenegro",,"The 49m/160'9"" sail yacht 'Acapella' by shipyard Custom offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Salt & Water Studio."
35,ACCAMA DELTA,Motor Yachts,10.0,4.0,5.0,30.0,2024,Azimut 100 Jumbo,7500,8357,"Mediterranean, France, Monaco",French Riviera,0,0,"Mediterranean, France, Monaco",French Riviera,"The 29.8m/97'9"" 'Accama Delta' motor yacht built by the Italian shipyard Azimut is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by American designer Marty Lowe."
36,ACCEPTUS,Motor Yachts,10.0,5.0,6.0,34.01,2023,Custom Line 112 Next,15857,16571,"Mediterranean, Croatia, Montenegro",,14214,14214,"Mediterranean, Croatia, Montenegro",,"The 34m/111'7"" motor yacht 'Acceptus' by the Italian shipyard Custom Line offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Zuccon."
37,ACCIDENTAL SUCCESS II,Motor Yachts,10.0,5.0,4.0,28.04,2024,95 Yacht,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,"The 28.06m/92'1"" motor yacht 'Accidental Success II' is an excellent new superyacht for the luxury charter market. Delivered by the British shipyard Sunseeker  and featuring interior styling by British designer Sunseeker she can comfortably accommodate up to 10 guests in 5 cabins."
38,ACE,Motor Yachts,10.0,5.0,9.0,44.27,2023,C144s,39071,45571,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia",0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",,"The 44.27m/145'3"" motor yacht 'Ace' is an excellent new superyacht for the luxury charter market. Delivered by Conrad Shipyard  and featuring interior styling by Italian designer M2 Atelier this multi-award winning  yacht  can comfortably accommodate up to 10 guests in 5 cabins."
39,ACE SIX,Motor Yachts,8.0,4.0,4.0,27.0,2020,Canados 82,3571,3929,,"Ibiza, The Balearics",3571,3929,,"Ibiza, The Balearics","The 27m/88'7"" motor yacht 'Ace Six' by the Italian shipyard Canados offers flexible accommodation for up to 8 guests in 4 cabins."
40,ACHENAR,Sailing Yachts,8.0,4.0,4.0,27.0,2021,Oyster 885,0,0,,,0,0,,,"The 27.08m/88'10"" 'Achenar' sail yacht built by shipyard Oyster Yachts is available for charter for up to 8 guests in 4 cabins."
41,ACIONNA,Motor Yachts,8.0,4.0,4.0,25.6,2019,Custom,6214,6571,"Mediterranean, Greece",Mykonos,6214,6214,"Mediterranean, Greece",Mykonos,"The 24.6m/80'9"" motor yacht 'Acionna' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Sanlorenzo."
42,ACQUA,Motor Yachts,11.0,5.0,6.0,33.0,2020,Navetta 33,19857,23143,,"Ibiza, The Balearics",19000,21500,,"Ibiza, The Balearics","The 33m/108'3"" 'Acqua' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 11 guests in 5 cabins. This  yacht  features interior styling by Sarah Lee Design."
43,ACQUA ALBERTI,Motor Yachts,8.0,4.0,3.0,24.99,2006,82 Yacht,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 25.2m/82'8"" motor yacht 'Acqua Alberti' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Ken Freivokh."
44,ACQUA CHIARA,Motor Yachts,10.0,5.0,9.0,47.0,2025,Atlantique 47,49571,54500,"Mediterranean, France, Italy, Malta, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Portofino, Sardinia, St Tropez, The Balearics",0,0,,,"The 47m/154'2"" motor yacht 'Acqua Chiara' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Italian shipyard Columbus Yachts  and featuring interior styling by Italian designer Hot Lab she can comfortably accommodate up to 10 guests in 5 cabins."
45,ACTA,Motor Yachts,10.0,5.0,10.0,51.21,2020,Custom,0,0,,New England,0,0,"Caribbean, Bahamas","Florida, Miami",The 51.2m/168' motor yacht 'Acta' by the Dutch shipyard Feadship offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by John Munford.
46,AD ASTRA,Catamarans,10.0,5.0,5.0,24.38,2024,Custom,11429,14643,"Mediterranean, Greece",Mykonos,0,0,,,The 24.38m/80' catamaran yacht 'Ad Astra' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Fountaine Pajot  she can comfortably accommodate up to 10 guests in 5 cabins.
47,ADASTRA,Catamarans,6.0,3.0,5.0,42.5,2012,Custom,0,0,,,0,0,,,"The 42.5m/139'5"" 'Adastra' motor yacht built by shipyard McConaghy Boats is available for charter for up to 6 guests in 3 cabins."
48,ADELA,Motor Yachts,10.0,5.0,5.0,28.93,2024,SD96,15071,16714,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia",0,0,,,"The 28.93m/94'11"" motor yacht 'Adela' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by Spanish designer Patricia Urquiola she can comfortably accommodate up to 10 guests in 5 cabins."
49,ADEONA,Catamarans,8.0,4.0,3.0,20.37,2024,Alegria 67,8286,10786,"Mediterranean, France, Monaco","Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia",8286,10786,Caribbean,,"The 20.36m/66'10"" catamaran yacht 'Adeona' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Fountaine Pajot  she can comfortably accommodate up to 8 guests in 4 cabins."
50,ADESSO,Sailing Yachts,8.0,4.0,4.0,32.31,2012,Custom,5714,6500,"Mediterranean, Italy","Amalfi Coast, Sardinia",5714,6500,"Mediterranean, Italy","Amalfi Coast, Sardinia",The 32.31m/106' sail yacht 'Adesso' by shipyard CCYD offers flexible accommodation for up to 8 guests in 4 cabins.
51,ADIOS,Motor Yachts,10.0,5.0,5.0,28.96,2023,SD96,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,"The 28.93m/94'11"" motor yacht 'Adios' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by Spanish designer Patricia Urquiola she can comfortably accommodate up to 10 guests in 5 cabins."
52,ADMIRAL,Gulet Yachts,36.0,16.0,9.0,47.0,2023,Custom,7000,8143,"Mediterranean, Greece, Turkey","Mykonos, Santorini",0,0,,,"The 47m/154'2"" gulet yacht 'Admiral' by shipyard Custom offers flexible accommodation for up to 36 guests in 16 cabins."
54,ADRI,Gulet Yachts,12.0,6.0,8.0,45.5,2024,Custom,14071,15571,"Mediterranean, Croatia, Montenegro",,0,0,,,"The 45.5m/149'3"" gulet yacht 'Adri' is an excellent new superyacht for the luxury charter market. Delivered by shipyard Radez  she can comfortably accommodate up to 12 guests in 6 cabins."
55,ADRIATIC DRAGON,Catamarans,8.0,4.0,4.0,23.77,2019,Seventy 7,10929,11571,"Mediterranean, Croatia, Montenegro",,10929,11571,"Mediterranean, Croatia, Montenegro",,"The 23.28m/76'5"" 'Adriatic Dragon' catamaran yacht built by the French shipyard Lagoon is available for charter for up to 8 guests in 4 cabins."
56,ADRIATIC ESCAPE,Motor Yachts,10.0,5.0,4.0,30.13,2018,Custom,7000,7000,,,7000,7000,,,The 29.87m/98' 'Adriatic Escape' motor yacht built by the American shipyard Burger Boat is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by American designer Burger Boat.
57,ADRIATIC HOLIDAY,Gulet Yachts,10.0,5.0,4.0,27.0,2023,Custom,2929,3714,"Mediterranean, Croatia, Montenegro",,0,0,,,"The 27m/88'7"" gulet yacht 'Adriatic Holiday' by Baldeniz Shipyard offers flexible accommodation for up to 10 guests in 5 cabins."
58,ADVA,Motor Yachts,12.0,5.0,7.0,35.3,2023,Mediterraneo 116,21643,29071,"Mediterranean, France, Greece, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia",21643,29071,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 35.5m/116'6"" motor yacht 'Adva' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Italian designer Salvagni Architetti."
59,ADVENTURE,Motor Yachts,12.0,6.0,12.0,52.7,2024,Custom,36643,44786,"Mediterranean, Croatia, France, Italy, Malta, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",36643,44786,,,"The 52.69m/172'10"" motor yacht 'Adventure' by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by English designer Terence Disdale."
60,AEGEAN CLIPPER,Gulet Yachts,22.0,11.0,5.0,41.0,2019,Custom,3643,4429,"Mediterranean, Greece, Turkey",,3643,4429,"Mediterranean, Turkey",,"The 41m/134'6"" 'Aegean Clipper' gulet yacht built by Bodrum Shipyard is available for charter for up to 22 guests in 11 cabins."
61,AEGEAN SCHATZ,Gulet Yachts,10.0,5.0,5.0,32.0,2023,Custom,4429,5643,"Mediterranean, Greece",Mykonos,4429,4429,"Mediterranean, Greece",,The 32m/105' 'Aegean Schatz ' gulet yacht built by shipyard Yener is available for charter for up to 10 guests in 5 cabins.
62,AEGEOTISSA II,Sailing Yachts,24.0,12.0,5.0,39.99,2022,Custom,4500,4500,"Mediterranean, Greece",,4500,4500,"Mediterranean, Greece",,"The 39.99m/131'2"" sail yacht 'Aegeotissa II' by shipyard Custom offers flexible accommodation for up to 24 guests in 12 cabins."
63,AELIA,Motor Yachts,12.0,8.0,14.0,56.0,2024,Custom,56786,63500,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",56786,63500,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","The 56m/183'9"" 'Aelia' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 8 cabins. This award winning  yacht  features interior styling by Central Yacht."
64,AELLO,Classic Yachts,8.0,4.0,5.0,38.0,2011,Custom,5714,5714,"Mediterranean, Greece",Mykonos,5714,5714,"Mediterranean, Greece",Mykonos,The 38.1m/125' classic yacht 'Aello' by shipyard Max Oertz offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Owner.
65,AEOLUS,Catamarans,8.0,4.0,4.0,23.3,2024,Seventy 7,0,0,Caribbean,,0,0,Caribbean,,The 23.77m/78' catamaran yacht 'Aeolus' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Lagoon  and featuring interior styling by French designer Lagoon she can comfortably accommodate up to 8 guests in 4 cabins.
66,AERO,Motor Yachts,10.0,5.0,7.0,39.6,2023,CRN 128,22000,24286,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",22786,26071,,,"The 39.6m/129'11"" motor yacht 'Aero' by the Italian shipyard CRN Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Zuccon."
67,AETERNA,Motor Yachts,20.0,10.0,12.0,53.28,2024,Custom,20000,28286,"Mediterranean, Croatia, Montenegro",,20000,20000,,,"The 53.28m/174'10"" motor yacht 'Aeterna' by shipyard Radez offers flexible accommodation for up to 20 guests in 10 cabins."
68,AETHER,Catamarans,8.0,4.0,3.0,20.47,2023,Custom,4929,6571,"Mediterranean, Greece",,4929,6571,"Mediterranean, Greece",,"The 20.36m/66'10"" 'Aether' catamaran yacht built by the French shipyard Fountaine Pajot is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Berret Racoupeau."
69,AFRICA I,Motor Yachts,12.0,6.0,12.0,47.0,2024,Custom,33071,36429,"Mediterranean, Croatia, Greece, Montenegro",Mykonos,33071,33071,"Mediterranean, Croatia, Greece, Montenegro",Mykonos,"The 47m/154'2"" motor yacht 'Africa I' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by French designer Zuretti."
70,AFTER V,Motor Yachts,8.0,4.0,3.0,24.79,2016,Ferretti 800,7429,7429,"Mediterranean, France, Monaco","Corsica, French Riviera, Sardinia",6143,6143,,,"The 24.4m/80'1"" 'After V' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Zuccon."
71,AFTER YOU,Motor Yachts,12.0,6.0,13.0,54.99,2022,Custom,55286,58643,"Mediterranean, Croatia, Greece, Italy, Montenegro, Turkey","Mykonos, Santorini, Sardinia",0,0,,,"After You was the largest and one of the most powerful Heesen yachts when she was delivered in 2011. Powered by a pair of 4,300kW, MTU 20V 4000 M93L diesel engines, After You will reach a notable top speed of 24 knots. In consultation with Van Oossanen Associates, Heesen’s in-house naval architects have created a sophisticated and highly efficient hard-chine hull, while Frank Laupman from Omega Architects drew the sleek and elegant exterior lines."
72,AFTER YOU,Expedition Yachts,12.0,6.0,17.0,60.0,2025,Xplorer 60,0,0,,,0,0,,,"The 60m/196'10"" expedition yacht 'After You' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Dutch shipyard Damen Yachting  and featuring interior styling by English designer H2 Yacht Design she can comfortably accommodate up to 12 guests in 6 cabins."
73,AFTERGLOW,Motor Yachts,8.0,4.0,5.0,38.4,2022,Custom,0,0,,,0,0,,,The 38.4m/126' motor yacht 'Afterglow' by shipyard Christensen offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Sylvia Bolton Designs.
74,AGA 6,Motor Yachts,12.0,5.0,8.0,46.3,2016,Custom,0,0,"Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts","New England, Virgin Islands",0,0,"Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts","New England, Virgin Islands","The 46.3m/151'11"" motor yacht 'Aga 6' by shipyard Nylen offers flexible accommodation for up to 12 guests in 5 cabins."
75,AGAPA,Open Yachts,9.0,4.0,3.0,26.49,2024,Predator 84,6357,6357,,"Ibiza, The Balearics",6357,6357,,"Ibiza, The Balearics",The 25.6m/84' open yacht 'Agapa' by the British shipyard Sunseeker offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by British designer Sunseeker.
76,AGARIMO SIX,Sailing Yachts,6.0,3.0,2.0,21.1,2021,Hanse 675,0,0,,,0,0,,,"Step aboard Agarimo Six, a stunning 21-meter Hanse 675, where design, comfort, and elegance come together to offer you an unforgettable nautical vacation.Based in Port de Sóller, this yacht is the perfect starting point to explore the most beautiful coves and landscapes along Mallorca’s north coast."
77,AGATA BLU,Catamarans,10.0,4.0,4.0,22.77,2023,Sunreef 70,9000,10857,"Mediterranean, Greece",Mykonos,9000,10857,"Mediterranean, Greece",Mykonos,"The 22.7m/74'6"" catamaran yacht 'Agata Blu' is an excellent new superyacht for the luxury charter market. Delivered by the Polish shipyard Sunreef Yachts  she can comfortably accommodate up to 10 guests in 4 cabins."
78,AGAVE,Motor Yachts,8.0,4.0,4.0,23.98,2022,Princess V85,6357,7500,"Mediterranean, France, Italy, Monaco","French Riviera, Sardinia",0,0,,,The 25.91m/85' 'Agave' motor yacht built by the British shipyard Princess is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Princess.
