,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
1007,DYLAN ANNE,Motor Yachts,10.0,5.0,6.0,32.97,2015,Supreme 108,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,"The 32.98m/108'2"" 'Dylan Anne' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Benetti M&B."
1008,DYNA,Motor Yachts,12.0,6.0,11.0,49.9,2024,B.Now 50M Oasis,50500,55357,"Mediterranean, France, Greece, Italy, Monaco, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia",0,0,,,"The 50m/164'1"" motor yacht 'Dyna®' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Benetti  and featuring interior styling by Italian designer Benetti she can comfortably accommodate up to 12 guests in 6 cabins."
1009,E,Catamarans,8.0,4.0,3.0,18.3,2019,Custom,6000,6500,,"Amalfi Coast, Sardinia",0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",,The 18.3m/60' catamaran yacht 'E' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 8 guests in 4 cabins.
1010,E  E,Expedition Yachts,10.0,5.0,9.0,42.09,2011,Custom,20500,23929,,,20500,20500,,,"The multi-award winning 42.1m/138'1"" expedition yacht 'E & E' by shipyard Cizgi Yat offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Art Line."
1011,E SUPERCAT,Catamarans,8.0,4.0,3.0,21.53,2023,Custom,0,0,,Sardinia,0,0,"Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,"The 21.6m/70'10"" catamaran yacht 'E Supercat' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Polish designer Sunreef Yachts."
1012,E-MOTION,Motor Yachts,10.0,5.0,8.0,40.0,2016,Custom,27714,29286,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia",27714,29286,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia","The 40.05m/131'5"" motor yacht 'E-Motion' by the British shipyard Sunseeker offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by British designer Sunseeker."
1013,E3,Motor Yachts,8.0,4.0,4.0,26.01,2019,Ferretti 850,8929,10571,"Mediterranean, Italy","Amalfi Coast, Sardinia",8929,10571,"Mediterranean, Italy","Amalfi Coast, Sardinia","The 25.98m/85'3"" 'E3' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Ferretti Yachts."
1014,EACOS,Open Yachts,8.0,4.0,4.0,26.8,2003,Madras 26,5714,6214,"Mediterranean, Italy",Amalfi Coast,5714,6214,"Mediterranean, Italy",Amalfi Coast,"The 26m/85'4"" 'Eacos' open yacht built by the Italian shipyard Tecnomar is available for charter for up to 8 guests in 4 cabins."
1015,EAGLE ONE,Motor Yachts,8.0,4.0,4.0,28.49,2021,Ferretti 920,11429,11429,,,11429,11429,,Corsica,"The 28.49m/93'6"" 'Eagle One' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Zuccon."
1016,EALU,Motor Yachts,10.0,5.0,6.0,40.23,2024,Custom,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",,The 40.23m/132' 'Ealu' (ex. Sea Dreams) motor yacht built by shipyard Northcoast Yachts is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Robin Rose & Associates.
