id,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,description,rating,base_marina,country,photos,userId,createdAt
1354,GRANIL,Expedition Yachts,8.0,4.0,4.0,26.1,2024.0,Darwin 86,8357,9714,8357,8357,The 26.21m/86' 'GraNil' expedition yacht built by the Italian shipyard Cantiere delle Marche is available for charter for up to 8 guests in 4 cabins. This yacht features interior styling by HydroTec.,3.8,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRANIL/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRANIL/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRANIL/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRANIL/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRANIL/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1356,GRAYA,Catamarans,9.0,4.0,4.0,24.0,2022.0,Sunreef 80 Sailing,12714,13286,12714,13286,"The 24.4m/80'1"" 'Graya' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 9 guests in 4 cabins. This yacht features interior styling by Polish designer Sunreef Yachts.",4.4,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYA/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYA/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYA/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYA/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYA/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1357,GRAYONE,Catamarans,8.0,4.0,5.0,23.87,2020.0,Sunreef 80 Sailing,8929,12214,8929,12214,"The 24.4m/80'1"" 'GrayOne' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins. This yacht features interior styling by Polish designer Sunreef Yachts.",5.0,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYONE/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYONE/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYONE/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYONE/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GRAYONE/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1358,GREEN RAY,Gulet Yachts,12.0,6.0,4.0,28.24,2019.0,Custom,3643,4786,3643,4786,"The 27.65m/90'9"" gulet yacht 'Green Ray' by shipyard Custom offers flexible accommodation for up to 12 guests in 6 cabins.",4.6,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREEN RAY/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREEN RAY/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREEN RAY/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREEN RAY/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREEN RAY/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1359,GREMAT,Open Yachts,7.0,3.0,3.0,27.0,2017.0,Leopard 27,3429,5357,3429,5357,"The 27m/88'7"" 'GreMat' open yacht built by shipyard Leopard is available for charter for up to 7 guests in 3 cabins. This yacht features interior styling by Arno.",3.9,Calvi,France,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREMAT/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREMAT/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREMAT/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREMAT/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREMAT/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1361,GREY B,Catamarans,8.0,4.0,4.0,23.98,2022.0,Sunreef 80 Sailing,12571,14143,12571,12571,"The 24.4m/80'1"" catamaran yacht 'Grey B' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Polish designer Sunreef Yachts.",4.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY B/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY B/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY B/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY B/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY B/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1362,GREY WOLF II,Expedition Yachts,7.0,3.0,3.0,26.19,2017.0,FBP 78,8500,9429,8500,9429,"The 26.37m/86'6"" 'Grey Wolf II' expedition yacht built by shipyard Circa Marine & Industrial is available for charter for up to 7 guests in 3 cabins.",3.8,Alaska,USA,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY WOLF II/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY WOLF II/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY WOLF II/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY WOLF II/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GREY WOLF II/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1363,GUARFIRO,Motor Yachts,8.0,4.0,2.0,23.8,2022.0,75HT,4000,4857,4000,4000,"The 23.8m/78'1"" motor yacht 'Guarfiro' by shipyard Uniesse Marine offers flexible accommodation for up to 8 guests in 4 cabins.",4.2,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUARFIRO/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUARFIRO/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUARFIRO/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUARFIRO/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUARFIRO/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1364,GUILLEMOT,Sailing Yachts,10.0,5.0,7.0,43.0,2021.0,Custom,20071,21714,20071,20071,"The 42.9m/140'9"" sail yacht 'Guillemot' (ex. Drumbeg) by the Dutch shipyard Vitters offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Wetzels Brown Partners.",5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUILLEMOT/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUILLEMOT/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUILLEMOT/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUILLEMOT/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GUILLEMOT/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1365,GWEILO,Classic Yachts,8.0,3.0,5.0,47.4,2022.0,Custom,11643,13286,11643,11643,"The 47.4m/155'6"" 'Gweilo' classic yacht built by the Turkish shipyard Mengi Yay is available for charter for up to 8 guests in 3 cabins. This yacht features interior styling by Hakan Ezel.",5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GWEILO/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GWEILO/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GWEILO/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GWEILO/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/GWEILO/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1368,HCO,Motor Yachts,10.0,5.0,6.0,30.1,2022.0,Ferretti 1000,14643,17929,14643,17929,"The 30.13m/98'10"" motor yacht 'H&CO' by the Italian shipyard Ferretti Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Ideaeitalia.",5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HCO/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HCO/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HCO/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HCO/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HCO/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1369,HAG,Motor Yachts,8.0,4.0,5.0,30.81,2025.0,Navetta 30,10000,11357,10000,10000,"The 30.95m/101'7"" motor yacht 'Hag' by the Italian shipyard Custom Line offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Zuccon.",4.9,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAG/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAG/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAG/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAG/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAG/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1370,HAIAMI I,Motor Yachts,12.0,6.0,7.0,32.99,2022.0,Navetta 33,20857,22500,20857,22500,"The 33m/108'3"" 'Haiami I' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 12 guests in 6 cabins. This yacht features interior styling by Sarah Lee Design.",5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAIAMI I/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAIAMI I/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAIAMI I/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAIAMI I/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAIAMI I/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1371,HAKUNA MATATA,Motor Yachts,12.0,6.0,8.0,36.9,2023.0,Couach 3700 FLY,17071,18714,17071,17071,"The 36.8m/120'9"" motor yacht 'Hakuna Matata' by shipyard Couach offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Danièle Chopard.",5.0,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAKUNA MATATA/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAKUNA MATATA/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAKUNA MATATA/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAKUNA MATATA/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAKUNA MATATA/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1372,HALCON DEL MAR,Gulet Yachts,18.0,8.0,6.0,40.15,2018.0,Custom,10286,12571,8571,8571,"The 40m/131'3"" gulet yacht 'Halcon Del Mar' by Bozburun Shipyard offers flexible accommodation for up to 18 guests in 8 cabins.",4.7,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCON DEL MAR/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCON DEL MAR/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCON DEL MAR/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCON DEL MAR/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCON DEL MAR/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1373,HALCYON,Catamarans,8.0,4.0,4.0,23.87,2024.0,Sunreef 80 Sailing,11714,13429,11714,11714,"The 24.4m/80'1"" catamaran yacht 'Halcyon' is an excellent new superyacht for the luxury charter market. Delivered by the Polish shipyard Sunreef Yachts and featuring interior styling by Polish designer Sunreef Yachts she can comfortably accommodate up to 8 guests in 4 cabins.",4.6,Calvi,France,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCYON/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCYON/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCYON/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCYON/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALCYON/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1376,HALLO,Motor Yachts,12.0,6.0,11.0,50.8,2020.0,Miss Tor 170,38286,42357,38286,42357,"The 50.81m/166'8"" 'Hallo' motor yacht built by the Turkish shipyard Miss Tor Yacht is available for charter for up to 12 guests in 6 cabins.",5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALLO/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALLO/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALLO/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALLO/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALLO/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1377,HALO,Motor Yachts,12.0,6.0,14.0,57.4,2021.0,Custom,73286,73286,73286,73286,"The 57.45m/188'6"" 'Halo' motor yacht built by the Dutch shipyard Feadship is available for charter for up to 12 guests in 6 cabins. This yacht features interior styling by Bernardi Peschard.",5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALO/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALO/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALO/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALO/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HALO/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1379,HAMMERHEAD,Motor Yachts,10.0,5.0,6.0,27.3,2022.0,Admiral 27,6857,8000,6857,6857,"The 27.8m/91'2"" 'Hammerhead' motor yacht built by shipyard CNL - Cantieri Navali Lavagna is available for charter for up to 10 guests in 5 cabins.",4.9,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAMMERHEAD/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAMMERHEAD/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAMMERHEAD/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAMMERHEAD/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HAMMERHEAD/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
1380,HANA,Motor Yachts,11.0,5.0,10.0,42.6,2024.0,CRN 43,24786,28071,24786,24786,"The 43m/141'1"" 'Hana' motor yacht built by the Italian shipyard CRN Yachts is available for charter for up to 11 guests in 5 cabins. This yacht features interior styling by Claude Missir Architecture Interieure.",4.7,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HANA/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HANA/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HANA/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HANA/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/HANA/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
